,text,label
0,"In this task, you will read a given text. If the text contains any abusive content, you will indicate via ""yes"". Otherwise, you will indicate via ""no"". We consider the content to be abusive if it contains any of the following instances: (1) Identity Directed Abuse (e.g., Content which contains a negative statement made against an identity. An identity is a social category that relates to a fundamental aspect of individuals community, socio-demographics, position or self-representation) (2) Affiliation Directed Abuse (e.g., Content which express negativity against an affiliation. We define affiliation as a (more or less) voluntary association with a collective. Affiliations include but are not limited to: memberships (e.g. Trade unions), party memberships (e.g. Republicans), political affiliations (e.g. Right-wing people) and occupations (e.g. Doctors).) (3) Person Directed Abuse (e.g., Content which directs negativity against an identifiable person, who is either part of the conversation thread or is named. Person-directed abuse includes serious character based attacks, such as accusing the person of lying, as well as aggression, insults and menacing language.) and (4) Counter Speech (e.g., Content which challenges, condemns or calls out the abusive language of others.). Note that URLs in the text have been replaced with [Link].",1
1,"Given a text, you are to output ""yes"" if it has abusive content, and ""no"" otherwise. We consider content to be abusive if it contains negative statements against an identity, affiliation, or person; or if it challenges, condemns, or calls out the abusive language of others.",0
2,"Read the given sentence and output ""yes"" if it is a general advice. Otherwise output ""no"". Advice is basically offering suggestions about the best course of action to someone. Advice can come in a variety of forms, for example Direct advice and Indirect advice. (1) Direct advice: Using words (e.g., suggest, advice, recommend), verbs (e.g., can, could, should, may), or using questions (e.g., why don't you's, how about, have you thought about). (2) Indirect advice: contains hints from personal experiences with the intention for someone to do the same thing or statements that imply an action should (or should not) be taken.",1
3,"Given a sentence, you need to output ""yes"" if it is a general advice, or ""no"" if it is not a general advice. General advice is defined as offering suggestions about the best course of action to someone. It can come in a variety of forms, such as Direct advice and Indirect advice.",0
4,"You are given an original reference and a system generated reference. Your task is to output 1 if the system generated reference could have been produced by a native speaker, else output 0.",1
5,"You will be given an original reference and a system generated reference. Your task is to judge the naturaleness of the system generated reference. If the utterance could have been produced by a native speaker, output 1. Otherwise, output 0.",0
6,"Given two phrases, Head and Tail, your task is to determine whether The Tail is the reason for the Head or not. Yes and No are the only acceptable answers.",1
7,"You are given two phrases: Head and Tail, separated by <sep>. The Head and the Tail events are short phrases possibly involving participants. You have to determine whether The Tail is the reason for the Head or not. The reason provides a post-fact explanation of the cause of an event. Classify your answers into ""Yes"" and ""No"".",0
8,"Given two phrases, Head and Tail, separated with <sep>, your task is to determine whether the Head is capable of the Tail or not. Yes and No are the only possible answers.",1
9,"Given two phrases, Head and Tail, separated with <sep>, determine whether the Head is capable of the Tail or not. Classify your answers into ""Yes"" and ""No"".",0
10,"Given a question, you need to detect which category best describes the question. If the question asks about description and abstract concepts, it belongs to the description category. If the question asks about entities such as animals, colors, sports, etc., it belongs to the entity category. If the question asks about abbreviations and expressions abbreviated, it belongs to the abbreviation category. If the question asks about human beings, description of a person, or a group or organization of persons, it belongs to the person category. If the question asks about numeric values, it belongs to the quantity category. If the question asks about locations, cities, or countries, it belongs to the location category.",1
11,"You are given a question and need to output which category it falls into. The categories are ""Description"", ""Entity"", ""Abbreviation"", ""Person"", ""Quantity"", and ""Location"". A question is in the Description category if it asks about description and abstract concepts. An Entity question is about entities such as animals, colors, sports, etc. Abbreviation questions ask about abbreviations and expressions abbreviated. Questions regarding human beings, description of a person, and a group or organization of persons are categorized as Human. Quantity questions are asking about numeric values and Location questions ask about locations, cities, and countries.",0
12,"In this task, you will be given a review of Amazon's food products. You will need to determine whether the review is negative or positive.",1
13,"In this task, you are given a review of Amazon's food products. You need to output 'negative' or 'positive', depending on the content of the review. A negative review means that the reviewer did not like the food product. A positive review means that the reviewer liked the food product.",0
14,"In this task, you will be given a review. You must read the review and classify it as positive or negative. If the review is positive, indicate your answer as P. If the review is negative, indicate your answer as N.",1
15,"In this task, you will receive a review. You must classify if the review is positive or negative. To indicate that the review is positive, output P. To indicate that the review is negative, output N.",0
16,"Given a paragraph and a claim, you need to classify the claim as '0', '1', or '2'. '0' means the claim contradicts the evidence present in the paragraph. '1' means the claim has multiple supporting *AND* contradicting evidences. '2' means the claim has supporting evidence and the paragraph is in overall favor of the claim.",1
17,"Given a paragraph and a claim, classify the claim as follows: 0: The claim contradicts the evidence present in the paragraph. 1: The claim has multiple supporting and contradicting evidences. 2: The claim has supporting evidence and the paragraph is in overall favor of the claim.",0
18,"In this task you are given a set of four words. Your task is to generate the category that the words belong to. The words are separated by commas. There are a total of 34 possible categories. They are: social gathering, accomodation, physical property, measurement unit, corporate, nutritional value, boats, police punishment, location (proximity), card games, outdoor sport activity, military rank, baby animals, weather, consumer product, animals, boxing terminology, food, chocolate food, bird, type of sandwich, date status, body part, ocean, employment activity, moral characteristic, elements, poker, computers, construction, guitar part, shady activities, physical activity, kitchenware, temperature, type of rigidity, emotional status, season, mode of transportation, window material, activity, emotional display, geographical property, fried food, store status, widespread, aesthetic characteristic, alcoholic drinks, secretary duty, direction, personal characteristic, and animal.",1
19,"Given a set of four words, your task is to generate the category that the words belong to. The words are separated by commas. There are a total of 33 possible categories, which are listed above. If you cannot find a category that the words belong to, output 'none of the above'.",0
