,text,label
0,"Task instruction: In this task, you are given a short story consisting of exactly 5 sentences. The second sentence is missing, and you are given a candidate for the second sentence. You need to identify if the given sentence connects the first sentence with the rest of the story. If the given sentence changes the subsequent storyline, so that at least one of the three subsequent sentences form a consistent story, then the answer is ""No"". Otherwise, the answer is ""Yes"".(1)
Input: Sentence 1: The cashier was counting the dollar bills at her desk. 
 Sentence 3: Everyone panicked and started to scream. 
  Sentence 4: The men threatened the people to remain quiet. 
 Sentence 5: The cashier handed them the cash so they would go away.  
 Given Sentence 2: Two men rushed into the store and held their guns up.
Output: Yes
(1)
Input: Sentence 1: The cashier was counting the dollar bills at her desk. 
 Sentence 3: Everyone panicked and started to scream. 
  Sentence 4: The men threatened the people to remain quiet. 
 Sentence 5: The cashier handed them the cash so they would go away.  
 Given Sentence 2: Two dogs rushed into the store.
Output: No
",1
1,"Task instruction: Given a short story consisting of 5 sentences, you need to identify if the given candidate sentence for the second sentence connects the first sentence with the rest of the story. Indicate your answer by ""Yes"" if it connects, otherwise ""No"". The given sentence is incorrect if it changes the subsequent storyline, so that at least one of the three subsequent sentences form a consistent story.(1)
Input: Sentence 1: The cashier was counting the dollar bills at her desk. 
 Sentence 3: Everyone panicked and started to scream. 
  Sentence 4: The men threatened the people to remain quiet. 
 Sentence 5: The cashier handed them the cash so they would go away.  
 Given Sentence 2: Two men rushed into the store and held their guns up.
Output: Yes
(1)
Input: Sentence 1: The cashier was counting the dollar bills at her desk. 
 Sentence 3: Everyone panicked and started to scream. 
  Sentence 4: The men threatened the people to remain quiet. 
 Sentence 5: The cashier handed them the cash so they would go away.  
 Given Sentence 2: Two dogs rushed into the store.
Output: No
",0
2,"Task instruction: In this task, you will be given a short story with a beginning and two potential middles. Your task is to choose the middle statement that makes the story incoherent / implausible by indicating 1 or 2 in the output. If both sentences are plausible, pick the one that makes less sense.(1)
Input: Beginning: Butch had a really old computer. Middle 1: Butch decided to order a new computer online. Middle 2: Butch noticed that a storm was approaching to his town. Ending: It arrived and Butch was much happier.
Output: 2
(1)
Input: Beginning: John was on the trail running. Middle 1: John accelerated the speed and broke his leg accidentally. Middle 2: John was chased by a bear. Ending: He ran even faster until he got to his car safely.
Output: 1
",1
3,"Task instruction: In this task, you will be given a short story with a beginning, two potential middles, and an ending. Your job is to choose the middle statement that makes the story incoherent / implausible. If both sentences are plausible, pick the one that makes less sense. To indicate your choice, output 1 or 2.(1)
Input: Beginning: Butch had a really old computer. Middle 1: Butch decided to order a new computer online. Middle 2: Butch noticed that a storm was approaching to his town. Ending: It arrived and Butch was much happier.
Output: 2
(1)
Input: Beginning: John was on the trail running. Middle 1: John accelerated the speed and broke his leg accidentally. Middle 2: John was chased by a bear. Ending: He ran even faster until he got to his car safely.
Output: 1
",0
4,"Task instruction: In this task, you will read a given text. If the text contains any abusive content, you will indicate via ""yes"". Otherwise, you will indicate via ""no"". We consider the content to be abusive if it contains any of the following instances: (1) Identity Directed Abuse (e.g., Content which contains a negative statement made against an identity. An identity is a social category that relates to a fundamental aspect of individuals community, socio-demographics, position or self-representation) (2) Affiliation Directed Abuse (e.g., Content which express negativity against an affiliation. We define affiliation as a (more or less) voluntary association with a collective. Affiliations include but are not limited to: memberships (e.g. Trade unions), party memberships (e.g. Republicans), political affiliations (e.g. Right-wing people) and occupations (e.g. Doctors).) (3) Person Directed Abuse (e.g., Content which directs negativity against an identifiable person, who is either part of the conversation thread or is named. Person-directed abuse includes serious character based attacks, such as accusing the person of lying, as well as aggression, insults and menacing language.) and (4) Counter Speech (e.g., Content which challenges, condemns or calls out the abusive language of others.). Note that URLs in the text have been replaced with [Link].(1)
Input: Was Michelangelo straight though?  I mean, being a pizza-maniac ninja would indicate so, but... You never know.
Output: yes
(1)
Input: I'm ecstatic that it went so well. I was one of the only people that didn't use a script and was told that my speech was really good. This is a really big deal because a few years ago I had social anxiety so bad that it got me fired from a fast food restaurant.
Output: no
",1
5,"Task instruction: Given a text, you are to output ""yes"" if it has abusive content, and ""no"" otherwise. We consider content to be abusive if it contains negative statements against an identity, affiliation, or person; or if it challenges, condemns, or calls out the abusive language of others.(1)
Input: Was Michelangelo straight though?  I mean, being a pizza-maniac ninja would indicate so, but... You never know.
Output: yes
(1)
Input: I'm ecstatic that it went so well. I was one of the only people that didn't use a script and was told that my speech was really good. This is a really big deal because a few years ago I had social anxiety so bad that it got me fired from a fast food restaurant.
Output: no
",0
6,"Task instruction: Read the given sentence and output ""yes"" if it is a general advice. Otherwise output ""no"". Advice is basically offering suggestions about the best course of action to someone. Advice can come in a variety of forms, for example Direct advice and Indirect advice. (1) Direct advice: Using words (e.g., suggest, advice, recommend), verbs (e.g., can, could, should, may), or using questions (e.g., why don't you's, how about, have you thought about). (2) Indirect advice: contains hints from personal experiences with the intention for someone to do the same thing or statements that imply an action should (or should not) be taken.(1)
Input: Our ruminating thoughts will still show up while you do it but you'll slowly be teaching yourself to let go of those thoughts and let them pass by.
Output: yes
(1)
Input: I did two years of community college to prove that I could do the work and get accepted into a university.
Output: no
",1
7,"Task instruction: Given a sentence, you need to output ""yes"" if it is a general advice, or ""no"" if it is not a general advice. General advice is defined as offering suggestions about the best course of action to someone. It can come in a variety of forms, such as Direct advice and Indirect advice.(1)
Input: Our ruminating thoughts will still show up while you do it but you'll slowly be teaching yourself to let go of those thoughts and let them pass by.
Output: yes
(1)
Input: I did two years of community college to prove that I could do the work and get accepted into a university.
Output: no
",0
8,"Task instruction: You are given an original reference and a system generated reference. Your task is to output 1 if the system generated reference could have been produced by a native speaker, else output 0.(1)
Input: System Reference: x is a reasonably priced fast food restaurant down by river cheap.
Original Reference: x is a cheap fastfood restaurant located near the riverside.
Output: 1
(1)
Input: System Reference: red door cafe, is in the are hill of hayes valley cathedral hill.
Original Reference: red door cafe is in the hayes valley and cathedral hill area.
Output: 0
",1
9,"Task instruction: You will be given an original reference and a system generated reference. Your task is to judge the naturaleness of the system generated reference. If the utterance could have been produced by a native speaker, output 1. Otherwise, output 0.(1)
Input: System Reference: x is a reasonably priced fast food restaurant down by river cheap.
Original Reference: x is a cheap fastfood restaurant located near the riverside.
Output: 1
(1)
Input: System Reference: red door cafe, is in the are hill of hayes valley cathedral hill.
Original Reference: red door cafe is in the hayes valley and cathedral hill area.
Output: 0
",0
